Epoch: [ 0/ 5] [   0/   2] time: 8.2473, d_loss: 553.91699219, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 8.4304, d_loss: 404.29937744, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 15.4938, d_loss: 248.31814575, g_loss: 0.00000000
Epoch: [ 1/10] [   0/   2] time: 22.5244, d_loss: 588.63006592, g_loss: 0.00000000
Epoch: [ 1/10] [   1/   2] time: 29.5475, d_loss: 305.34796143, g_loss: 0.00000000
Epoch: [ 0/ 5] [   0/   2] time: 8.3029, d_loss: 27.56831551, g_loss: 0.00000000
Epoch: [ 0/ 5] [   1/   2] time: 15.3185, d_loss: 328.18646240, g_loss: 0.00000000
Epoch: [ 0/ 5] [   0/   2] time: 8.2580, d_loss: 96.77375031, g_loss: 0.00000000
Epoch: [ 0/ 5] [   1/   2] time: 15.2486, d_loss: 335.12982178, g_loss: 0.00000000
Epoch: [ 1/ 5] [   0/   2] time: 22.4382, d_loss: 670.63275146, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 8.8880, d_loss: 442.93893433, g_loss: 0.00000000
Epoch: [ 0/ 5] [   0/   2] time: 9.2050, d_loss: 357.36026001, g_loss: 0.00000000
Epoch: [ 0/ 5] [   1/   2] time: 17.0923, d_loss: 99.21971130, g_loss: 0.00000000
Epoch: [ 1/ 5] [   0/   2] time: 24.9754, d_loss: 332.48483276, g_loss: 0.00000000
Epoch: [ 1/ 5] [   1/   2] time: 32.7807, d_loss: 71.68448639, g_loss: 0.00000000
Epoch: [ 2/ 5] [   0/   2] time: 40.6596, d_loss: 612.77783203, g_loss: 0.00000000
Epoch: [ 2/ 5] [   1/   2] time: 48.4923, d_loss: 47.68277359, g_loss: 0.00000000
Epoch: [ 3/ 5] [   0/   2] time: 57.3251, d_loss: 856.05578613, g_loss: 0.00000000
Epoch: [ 3/ 5] [   1/   2] time: 65.3926, d_loss: 335.11654663, g_loss: 0.00000000
Epoch: [ 4/ 5] [   0/   2] time: 72.6216, d_loss: 84.14646149, g_loss: 0.00000000
Epoch: [ 4/ 5] [   1/   2] time: 79.9532, d_loss: 437.50387573, g_loss: 0.00000000
Epoch: [ 0/ 5] [   0/   2] time: 8.1037, d_loss: 46.64718246, g_loss: 0.00000000
Epoch: [ 0/ 5] [   1/   2] time: 15.3525, d_loss: 387.55953979, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 8.1979, d_loss: 367.21093750, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 15.4655, d_loss: 96.74440765, g_loss: 0.00000000
